Strain,Time_s,Extension_mm,Load_N,Stress_MPa,CNC_wt,PLA_wt,PHB_wt,Strain2,Strain3,CNC_Strain,CNC_Strain2,PLA_Strain,PHB_Strain,ExtensionRate,LoadRate,StressSlope,Elastic Modulus,Impact strength (kJ/m^2),SourceFile
0,0.039,0,0.144,0.006925695,0,80,20,0,0,0,0,0,0,0.065404323,21.21332234,502.0095431,1021.645521,2.37,0CNC_sample1.csv
0.000338206,0.209643216,0.011160804,3.763909548,0.176708426,0,80,20,1.14E-07,3.87E-11,0,0,0.027056495,0.006764124,0.065404323,21.21332234,502.0095431,1021.645521,2.37,0CNC_sample1.csv
0.000676412,0.28321608,0.022321608,11.15133166,0.534430292,0,80,20,4.58E-07,3.09E-10,0,0,0.054112989,0.013528247,0.151697288,100.4096032,1057.70351,1021.645521,2.37,0CNC_sample1.csv
0.001014619,0.380718593,0.033482412,19.67661307,0.931740739,0,80,20,1.03E-06,1.04E-09,0,0,0.081169484,0.020292371,0.114466835,87.43653043,1174.758085,1021.645521,2.37,0CNC_sample1.csv
0.001352825,0.531572864,0.044643216,27.69121105,1.314958091,0,80,20,1.83E-06,2.48E-09,0,0,0.108225978,0.027056495,0.073984011,53.12808127,1133.087954,1021.645521,2.37,0CNC_sample1.csv
0.001691031,0.680884422,0.05580402,35.30059296,1.656760555,0,80,20,2.86E-06,4.84E-09,0,0,0.135282473,0.033820618,0.074748427,50.96311379,1010.633399,1021.645521,2.37,0CNC_sample1.csv
0.002029237,0.809437186,0.066964824,42.46178895,1.978446594,0,80,20,4.12E-06,8.36E-09,0,0,0.162338968,0.040584742,0.086818857,55.70627785,951.1536332,1021.645521,2.37,0CNC_sample1.csv
0.002367443,0.928381909,0.078125628,49.54915074,2.363854141,0,80,20,5.60E-06,1.33E-08,0,0,0.189395462,0.047348866,0.093831855,59.58534009,1139.563873,1021.645521,2.37,0CNC_sample1.csv
0.002705649,1.078155779,0.089286432,57.11945728,2.711083462,0,80,20,7.32E-06,1.98E-08,0,0,0.216451957,0.054112989,0.074517698,50.54490858,1026.679402,1021.645521,2.37,0CNC_sample1.csv
0.003043856,1.211683417,0.100447236,64.38074874,3.044325742,0,80,20,9.27E-06,2.82E-08,0,0,0.243508451,0.060877113,0.083584224,54.38043805,985.3228521,1021.645521,2.37,0CNC_sample1.csv
0.003382062,1.334080402,0.11160804,70.97239195,3.365846413,0,80,20,1.14E-05,3.87E-08,0,0,0.270564946,0.067641236,0.091185286,53.85462084,950.6646761,1021.645521,2.37,0CNC_sample1.csv
0.003720268,1.471457286,0.122768844,78.26393467,3.708564045,0,80,20,1.38E-05,5.15E-08,0,0,0.297621441,0.07440536,0.081242227,53.0769259,1013.339348,1021.645521,2.37,0CNC_sample1.csv
0.004058474,1.606944723,0.133929648,85.91610049,4.04590126,0,80,20,1.65E-05,6.68E-08,0,0,0.324677935,0.081169484,0.082375195,56.47878496,997.430658,1021.645521,2.37,0CNC_sample1.csv
0.00439668,1.748361809,0.145090452,93.16681909,4.41913468,0,80,20,1.93E-05,8.50E-08,0,0,0.35173443,0.087933607,0.078921185,51.27187123,1103.567704,1021.645521,2.37,0CNC_sample1.csv
0.004734887,1.882507538,0.156251256,100.1044472,4.735348602,0,80,20,2.24E-05,1.06E-07,0,0,0.378790924,0.094697731,0.083199101,51.71710058,934.9738057,1021.645521,2.37,0CNC_sample1.csv
0.005073093,2.010532663,0.16741206,107.4699497,5.081898439,0,80,20,2.57E-05,1.31E-07,0,0,0.405847419,0.101461855,0.087176669,57.53169526,1024.67032,1021.645521,2.37,0CNC_sample1.csv
0.005411299,2.138145729,0.178572864,114.8397236,5.434292634,0,80,20,2.93E-05,1.58E-07,0,0,0.432903913,0.108225978,0.087458161,57.75093522,1041.950779,1021.645521,2.37,0CNC_sample1.csv
0.005749505,2.276738693,0.189733668,122.1620402,5.772541902,0,80,20,3.31E-05,1.90E-07,0,0,0.459960408,0.114990102,0.080529369,52.83324872,1000.127395,1021.645521,2.37,0CNC_sample1.csv
0.006087711,2.402683417,0.200894472,129.3101658,6.118671059,0,80,20,3.71E-05,2.26E-07,0,0,0.487016903,0.121754226,0.088616686,56.75605474,1023.426461,1021.645521,2.37,0CNC_sample1.csv
0.006425917,2.547552764,0.212055276,137.0848141,6.505863668,0,80,20,4.13E-05,2.65E-07,0,0,0.514073397,0.128518349,0.07704048,53.66662042,1144.841904,1021.645521,2.37,0CNC_sample1.csv
